qid,question,answer,qid,question,answer,concepts,numbers,units,relations
306,"adenosine + pi \rightarrow adp + pi \rightarrow y.

how many phosphates take part in the first stage of the process mentioned in the stem?",2,306,"adenosine + pi \rightarrow adp + pi \rightarrow y.

how many phosphates take part in the first stage of the process mentioned in the stem?",2,"['stage', 'process', 'adenosine', 'adp', 'mention', 'pi', 'phosphate', 'y.', 'stem', '\\rightarrow']","['first', '2']",['m'],[]
306,"adenosine + pi \rightarrow adp + pi \rightarrow y.

how many phosphates take part in the first stage of the process mentioned in the stem?",3,306,"adenosine + pi \rightarrow adp + pi \rightarrow y.

how many phosphates take part in the first stage of the process mentioned in the stem?",3,"['stage', 'process', 'adenosine', 'adp', 'mention', 'pi', 'phosphate', 'y.', 'stem', '\\rightarrow']","['first', '3']",['m'],[]
306,"adenosine + pi \rightarrow adp + pi \rightarrow y.

how many phosphates take part in the first stage of the process mentioned in the stem?",4,306,"adenosine + pi \rightarrow adp + pi \rightarrow y.

how many phosphates take part in the first stage of the process mentioned in the stem?",4,"['stage', 'process', 'adenosine', 'adp', 'mention', 'pi', 'phosphate', 'y.', 'stem', '\\rightarrow']","['first', '4']",['m'],[]
307,"adenosine + pi \rightarrow adp + pi \rightarrow y.

how many kilocalorie energy is produced from 'y' compound produced from one molecule of glucose in the process of anaerobic respiration?",10.6,307,"adenosine + pi \rightarrow adp + pi \rightarrow y.

how many kilocalorie energy is produced from 'y' compound produced from one molecule of glucose in the process of anaerobic respiration?",10.6,"['y', 'adenosine', 'process', 'adp', 'energy', 'molecule', 'anaerobic', 'pi', 'produce', 'y.', 'kilocalorie', '\\rightarrow', 'respiration', 'compound', 'glucose']","['one', '10.6']",['m'],[]
307,"adenosine + pi \rightarrow adp + pi \rightarrow y.

how many kilocalorie energy is produced from 'y' compound produced from one molecule of glucose in the process of anaerobic respiration?",12.6,307,"adenosine + pi \rightarrow adp + pi \rightarrow y.

how many kilocalorie energy is produced from 'y' compound produced from one molecule of glucose in the process of anaerobic respiration?",12.6,"['y', 'adenosine', 'process', 'adp', 'energy', 'molecule', 'anaerobic', 'pi', 'produce', 'y.', 'kilocalorie', '\\rightarrow', 'respiration', 'compound', 'glucose']","['one', '12.6']",['m'],[]
307,"adenosine + pi \rightarrow adp + pi \rightarrow y.

how many kilocalorie energy is produced from 'y' compound produced from one molecule of glucose in the process of anaerobic respiration?",13.6,307,"adenosine + pi \rightarrow adp + pi \rightarrow y.

how many kilocalorie energy is produced from 'y' compound produced from one molecule of glucose in the process of anaerobic respiration?",13.6,"['y', 'adenosine', 'process', 'adp', 'energy', 'molecule', 'anaerobic', 'pi', 'produce', 'y.', 'kilocalorie', '\\rightarrow', 'respiration', 'compound', 'glucose']","['one', '13.6']",['m'],[]
307,"adenosine + pi \rightarrow adp + pi \rightarrow y.

how many kilocalorie energy is produced from 'y' compound produced from one molecule of glucose in the process of anaerobic respiration?",14.6,307,"adenosine + pi \rightarrow adp + pi \rightarrow y.

how many kilocalorie energy is produced from 'y' compound produced from one molecule of glucose in the process of anaerobic respiration?",14.6,"['y', 'adenosine', 'process', 'adp', 'energy', 'molecule', 'anaerobic', 'pi', 'produce', 'y.', 'kilocalorie', '\\rightarrow', 'respiration', 'compound', 'glucose']","['14.6', 'one']",['m'],[]
308,which is a contracting and expending tissue?,muscular tissue,308,which is a contracting and expending tissue?,muscular tissue,"['tissue', 'contracting', 'muscular', 'expend']",[],['m'],[]
308,which is a contracting and expending tissue?,epithelial tissue,308,which is a contracting and expending tissue?,epithelial tissue,"['expend', 'contracting', 'tissue', 'epithelial']",[],[],[]
308,which is a contracting and expending tissue?,connective tissue,308,which is a contracting and expending tissue?,connective tissue,"['expend', 'contracting', 'tissue', 'connective']",[],[],[]
308,which is a contracting and expending tissue?,nerve tissue,308,which is a contracting and expending tissue?,nerve tissue,"['expend', 'contracting', 'tissue', 'nerve']",[],[],[]
309,what is the cell wall of the fungal made up of?,pectin,309,what is the cell wall of the fungal made up of?,pectin,"['wall', 'cell', 'fungal', 'pectin']",[],['m'],[]
309,what is the cell wall of the fungal made up of?,lipid,309,what is the cell wall of the fungal made up of?,lipid,"['lipid', 'wall', 'cell', 'fungal']",[],['m'],[]
309,what is the cell wall of the fungal made up of?,chitin,309,what is the cell wall of the fungal made up of?,chitin,"['chitin', 'cell', 'fungal', 'wall']",[],['m'],[]
309,what is the cell wall of the fungal made up of?,polysaccaride,309,what is the cell wall of the fungal made up of?,polysaccaride,"['wall', 'cell', 'fungal']",[],['m'],[]
310,for increase of which gas in air the rate of respiration becomes lower?,o_{2},310,for increase of which gas in air the rate of respiration becomes lower?,o_{2},"['air', 'rate', 'low', 'respiration', 'o_{2', 'increase', 'gas']",[],['m'],[]
310,for increase of which gas in air the rate of respiration becomes lower?,co_{2},310,for increase of which gas in air the rate of respiration becomes lower?,co_{2},"['air', 'rate', 'low', 'respiration', 'increase', 'gas']",[],['m'],[]
310,for increase of which gas in air the rate of respiration becomes lower?,n_{2},310,for increase of which gas in air the rate of respiration becomes lower?,n_{2},"['n_{2', 'air', 'rate', 'low', 'respiration', 'increase', 'gas']",[],['m'],[]
310,for increase of which gas in air the rate of respiration becomes lower?,ch_{4},310,for increase of which gas in air the rate of respiration becomes lower?,ch_{4},"['air', 'rate', 'low', 'respiration', 'ch_{4', 'increase', 'gas']",[],['m'],[]
311,what is the name of the liquid stored within the intercellular space of the human body?,lymph,311,what is the name of the liquid stored within the intercellular space of the human body?,lymph,"['liquid', 'intercellular', 'lymph', 'space', 'store', 'body', 'human']",[],['m'],[]
311,what is the name of the liquid stored within the intercellular space of the human body?,platelet,311,what is the name of the liquid stored within the intercellular space of the human body?,platelet,"['liquid', 'intercellular', 'space', 'platelet', 'store', 'body', 'human']",[],['m'],[]
311,what is the name of the liquid stored within the intercellular space of the human body?,synapase,311,what is the name of the liquid stored within the intercellular space of the human body?,synapase,"['liquid', 'intercellular', 'space', 'synapase', 'store', 'body', 'human']",[],['m'],[]
311,what is the name of the liquid stored within the intercellular space of the human body?,dendrite,311,what is the name of the liquid stored within the intercellular space of the human body?,dendrite,"['liquid', 'intercellular', 'space', 'dendrite', 'store', 'body', 'human']",[],['m'],[]
312,for increase of which material is the kindney damaged?,urochrome,312,for increase of which material is the kindney damaged?,urochrome,"['material', 'urochrome', 'kindney', 'damage', 'increase']",[],['m'],[]
312,for increase of which material is the kindney damaged?,creatinine,312,for increase of which material is the kindney damaged?,creatinine,"['material', 'kindney', 'creatinine', 'damage', 'increase']",[],['m'],[]
312,for increase of which material is the kindney damaged?,uric acid,312,for increase of which material is the kindney damaged?,uric acid,"['material', 'kindney', 'acid', 'uric', 'damage', 'increase']",[],['m'],[]
312,for increase of which material is the kindney damaged?,fats,312,for increase of which material is the kindney damaged?,fats,"['material', 'kindney', 'damage', 'fat', 'increase']",[],['m'],[]
313,"the xylem fiber cells are-
i. long, the ends of the cells are tapereds
ii. no protoplasm
iii. provide rigidity
which one is correct?",i and ii,313,"the xylem fiber cells are-
i. long, the ends of the cells are tapereds
ii. no protoplasm
iii. provide rigidity
which one is correct?",i and ii,"['ii', 'iii', 'cell', '.', 'provide', 'end', 'rigidity', 'i.', 'fiber', 'long', 'correct', 'xylem', 'tapered', 'protoplasm']",['one'],['m'],[]
313,"the xylem fiber cells are-
i. long, the ends of the cells are tapereds
ii. no protoplasm
iii. provide rigidity
which one is correct?",ii and iii,313,"the xylem fiber cells are-
i. long, the ends of the cells are tapereds
ii. no protoplasm
iii. provide rigidity
which one is correct?",ii and iii,"['ii', 'iii', 'cell', '.', 'provide', 'end', 'rigidity', 'i.', 'fiber', 'long', 'correct', 'xylem', 'tapered', 'protoplasm']",['one'],['m'],[]
313,"the xylem fiber cells are-
i. long, the ends of the cells are tapereds
ii. no protoplasm
iii. provide rigidity
which one is correct?",i and iii,313,"the xylem fiber cells are-
i. long, the ends of the cells are tapereds
ii. no protoplasm
iii. provide rigidity
which one is correct?",i and iii,"['ii', 'iii', 'cell', '.', 'provide', 'end', 'rigidity', 'i.', 'fiber', 'long', 'correct', 'xylem', 'tapered', 'protoplasm']",['one'],['m'],[]
313,"the xylem fiber cells are-
i. long, the ends of the cells are tapereds
ii. no protoplasm
iii. provide rigidity
which one is correct?","i, ii and iii",313,"the xylem fiber cells are-
i. long, the ends of the cells are tapereds
ii. no protoplasm
iii. provide rigidity
which one is correct?","i, ii and iii","['ii', 'iii', 'cell', '.', 'provide', 'end', 'rigidity', 'i.', 'fiber', 'long', 'correct', 'xylem', 'tapered', 'protoplasm']",['one'],['m'],[]
314,what is the name of that insoluble protein that can create thread-like strands very quickly?,thrombosplastin,314,what is the name of that insoluble protein that can create thread-like strands very quickly?,thrombosplastin,"['create', 'protein', 'insoluble', 'thrombosplastin', 'strand', 'thread', 'like']",[],['m'],[]
314,what is the name of that insoluble protein that can create thread-like strands very quickly?,neutrophil,314,what is the name of that insoluble protein that can create thread-like strands very quickly?,neutrophil,"['create', 'protein', 'insoluble', 'strand', 'thread', 'neutrophil', 'like']",[],['m'],[]
314,what is the name of that insoluble protein that can create thread-like strands very quickly?,basophil,314,what is the name of that insoluble protein that can create thread-like strands very quickly?,basophil,"['create', 'protein', 'insoluble', 'basophil', 'strand', 'thread', 'like']",[],['m'],[]
314,what is the name of that insoluble protein that can create thread-like strands very quickly?,fibrin,314,what is the name of that insoluble protein that can create thread-like strands very quickly?,fibrin,"['create', 'protein', 'insoluble', 'fibrin', 'strand', 'thread', 'like']",[],['m'],[]
315,people belonging which group is known as the universal donor?,a,315,people belonging which group is known as the universal donor?,a,"['know', 'donor', 'universal', 'people', 'belong', 'group']",[],[],[]
315,people belonging which group is known as the universal donor?,b,315,people belonging which group is known as the universal donor?,b,"['know', 'donor', 'universal', 'people', 'belong', 'group']",[],[],[]
315,people belonging which group is known as the universal donor?,ab,315,people belonging which group is known as the universal donor?,ab,"['know', 'donor', 'universal', 'people', 'belong', 'ab', 'group']",[],[],[]
315,people belonging which group is known as the universal donor?,o,315,people belonging which group is known as the universal donor?,o,"['know', 'donor', 'universal', 'people', 'belong', 'group']",[],[],[]
316,"where did lives first originated from?
i. sea water 
ii. nucleoprotein
iii. methane, ammonia, etc.
which one is correct?",i and ii,316,"where did lives first originated from?
i. sea water 
ii. nucleoprotein
iii. methane, ammonia, etc.
which one is correct?",i and ii,"['sea', 'methane', 'ii', 'iii', 'ammonia', 'originate', 'nucleoprotein', '.', 'i.', 'correct', 'water', 'life', 'nucleoprotein\niii']","['first', 'one']","['mm', 'm']",[]
316,"where did lives first originated from?
i. sea water 
ii. nucleoprotein
iii. methane, ammonia, etc.
which one is correct?",ii and iii,316,"where did lives first originated from?
i. sea water 
ii. nucleoprotein
iii. methane, ammonia, etc.
which one is correct?",ii and iii,"['sea', 'methane', 'ii', 'iii', 'ammonia', 'originate', 'nucleoprotein', '.', 'i.', 'correct', 'water', 'life', 'nucleoprotein\niii']","['first', 'one']","['mm', 'm']",[]
316,"where did lives first originated from?
i. sea water 
ii. nucleoprotein
iii. methane, ammonia, etc.
which one is correct?",i and iii,316,"where did lives first originated from?
i. sea water 
ii. nucleoprotein
iii. methane, ammonia, etc.
which one is correct?",i and iii,"['sea', 'methane', 'ii', 'iii', 'ammonia', 'originate', 'nucleoprotein', '.', 'i.', 'correct', 'water', 'life', 'nucleoprotein\niii']","['first', 'one']","['mm', 'm']",[]
316,"where did lives first originated from?
i. sea water 
ii. nucleoprotein
iii. methane, ammonia, etc.
which one is correct?","i, ii and iii",316,"where did lives first originated from?
i. sea water 
ii. nucleoprotein
iii. methane, ammonia, etc.
which one is correct?","i, ii and iii","['sea', 'methane', 'ii', 'iii', 'ammonia', 'originate', 'nucleoprotein', '.', 'i.', 'correct', 'water', 'life', 'nucleoprotein\niii']","['first', 'one']","['mm', 'm']",[]
317,the endosperm cells are-,haploid,317,the endosperm cells are-,haploid,"['endosperm', 'cell', 'haploid']",[],['m'],[]
317,the endosperm cells are-,diploid,317,the endosperm cells are-,diploid,"['endosperm', 'cell', 'diploid']",[],['m'],[]
317,the endosperm cells are-,triploid,317,the endosperm cells are-,triploid,"['endosperm', 'cell']",[],['m'],[]
317,the endosperm cells are-,terraploid,317,the endosperm cells are-,terraploid,"['endosperm', 'cell', 'terraploid']",[],['m'],[]
318,at the last stage of cleavage the mass of cell of growing embro is called-,implantaion,318,at the last stage of cleavage the mass of cell of growing embro is called-,implantaion,"['stage', 'cell', 'called-', 'cleavage', 'embro', 'implantaion', 'mass', 'grow']",[],['m'],[]
318,at the last stage of cleavage the mass of cell of growing embro is called-,zygote,318,at the last stage of cleavage the mass of cell of growing embro is called-,zygote,"['cleavage', 'stage', 'cell', 'embro', 'mass', 'grow', 'zygote']",[],['m'],[]
318,at the last stage of cleavage the mass of cell of growing embro is called-,blastocyst,318,at the last stage of cleavage the mass of cell of growing embro is called-,blastocyst,"['stage', 'cell', 'blastocyst', 'called-', 'cleavage', 'embro', 'mass', 'grow']",[],['m'],[]
318,at the last stage of cleavage the mass of cell of growing embro is called-,cleavage,318,at the last stage of cleavage the mass of cell of growing embro is called-,cleavage,"['cleavage', 'stage', 'cell', 'called-', 'embro', 'mass', 'grow']",[],['m'],[]
319,"c_{6}h_{12}o_{6}+o_{2}\xrightarrow{enzyme}co_{2}+h_{2}o+atp
how many atp are produced in mentioned reaction?",38,319,"c_{6}h_{12}o_{6}+o_{2}\xrightarrow{enzyme}co_{2}+h_{2}o+atp
how many atp are produced in mentioned reaction?",38,"['reaction', 'c_{6}h_{12}o_{6}+o_{2}\\xrightarrow{enzyme}co_{2}+h_{2}o+atp', 'atp', 'mention', 'produce']",['38'],['m'],[]
319,"c_{6}h_{12}o_{6}+o_{2}\xrightarrow{enzyme}co_{2}+h_{2}o+atp
how many atp are produced in mentioned reaction?",48,319,"c_{6}h_{12}o_{6}+o_{2}\xrightarrow{enzyme}co_{2}+h_{2}o+atp
how many atp are produced in mentioned reaction?",48,"['reaction', 'c_{6}h_{12}o_{6}+o_{2}\\xrightarrow{enzyme}co_{2}+h_{2}o+atp', 'atp', 'mention', 'produce']",['48'],['m'],[]
319,"c_{6}h_{12}o_{6}+o_{2}\xrightarrow{enzyme}co_{2}+h_{2}o+atp
how many atp are produced in mentioned reaction?",58,319,"c_{6}h_{12}o_{6}+o_{2}\xrightarrow{enzyme}co_{2}+h_{2}o+atp
how many atp are produced in mentioned reaction?",58,"['reaction', 'c_{6}h_{12}o_{6}+o_{2}\\xrightarrow{enzyme}co_{2}+h_{2}o+atp', 'atp', 'mention', 'produce']",['58'],['m'],[]
319,"c_{6}h_{12}o_{6}+o_{2}\xrightarrow{enzyme}co_{2}+h_{2}o+atp
how many atp are produced in mentioned reaction?",68,319,"c_{6}h_{12}o_{6}+o_{2}\xrightarrow{enzyme}co_{2}+h_{2}o+atp
how many atp are produced in mentioned reaction?",68,"['reaction', 'c_{6}h_{12}o_{6}+o_{2}\\xrightarrow{enzyme}co_{2}+h_{2}o+atp', 'atp', 'mention', 'produce']",['68'],['m'],[]
320,"c_{6}h_{12}o_{6}+o_{2}\xrightarrow{enzyme}co_{2}+h_{2}o+atp
the reaction-
i. helps in plants growth
ii. produces energy
iii. occurs in some microorganism.
which one is correct?",i and ii,320,"c_{6}h_{12}o_{6}+o_{2}\xrightarrow{enzyme}co_{2}+h_{2}o+atp
the reaction-
i. helps in plants growth
ii. produces energy
iii. occurs in some microorganism.
which one is correct?",i and ii,"['ii', 'microorganism', 'iii', 'plant', 'energy', 'growth', '.', 'i.', 'produce', 'correct', 'occur', 'help', 'reaction-', 'c_{6}h_{12}o_{6}+o_{2}\\xrightarrow{enzyme}co_{2}+h_{2}o+atp']",['one'],['m'],[]
320,"c_{6}h_{12}o_{6}+o_{2}\xrightarrow{enzyme}co_{2}+h_{2}o+atp
the reaction-
i. helps in plants growth
ii. produces energy
iii. occurs in some microorganism.
which one is correct?",ii and iii,320,"c_{6}h_{12}o_{6}+o_{2}\xrightarrow{enzyme}co_{2}+h_{2}o+atp
the reaction-
i. helps in plants growth
ii. produces energy
iii. occurs in some microorganism.
which one is correct?",ii and iii,"['ii', 'microorganism', 'iii', 'plant', 'energy', 'growth', '.', 'i.', 'produce', 'correct', 'occur', 'help', 'reaction-', 'c_{6}h_{12}o_{6}+o_{2}\\xrightarrow{enzyme}co_{2}+h_{2}o+atp']",['one'],['m'],[]
320,"c_{6}h_{12}o_{6}+o_{2}\xrightarrow{enzyme}co_{2}+h_{2}o+atp
the reaction-
i. helps in plants growth
ii. produces energy
iii. occurs in some microorganism.
which one is correct?",i and iii,320,"c_{6}h_{12}o_{6}+o_{2}\xrightarrow{enzyme}co_{2}+h_{2}o+atp
the reaction-
i. helps in plants growth
ii. produces energy
iii. occurs in some microorganism.
which one is correct?",i and iii,"['ii', 'microorganism', 'iii', 'plant', 'energy', 'growth', '.', 'i.', 'produce', 'correct', 'occur', 'help', 'reaction-', 'c_{6}h_{12}o_{6}+o_{2}\\xrightarrow{enzyme}co_{2}+h_{2}o+atp']",['one'],['m'],[]
320,"c_{6}h_{12}o_{6}+o_{2}\xrightarrow{enzyme}co_{2}+h_{2}o+atp
the reaction-
i. helps in plants growth
ii. produces energy
iii. occurs in some microorganism.
which one is correct?","i, ii and iii",320,"c_{6}h_{12}o_{6}+o_{2}\xrightarrow{enzyme}co_{2}+h_{2}o+atp
the reaction-
i. helps in plants growth
ii. produces energy
iii. occurs in some microorganism.
which one is correct?","i, ii and iii","['ii', 'microorganism', 'iii', 'plant', 'energy', 'growth', '.', 'i.', 'produce', 'correct', 'occur', 'help', 'reaction-', 'c_{6}h_{12}o_{6}+o_{2}\\xrightarrow{enzyme}co_{2}+h_{2}o+atp']",['one'],['m'],[]
321,what is the percentage of water in plasma?,80-82,321,what is the percentage of water in plasma?,80-82,"['water', 'percentage', 'plasma']","['82', '80-82', '80']",['m'],[]
321,what is the percentage of water in plasma?,85-87,321,what is the percentage of water in plasma?,85-87,"['water', 'percentage', 'plasma']","['85', '87']",['m'],[]
321,what is the percentage of water in plasma?,88-90,321,what is the percentage of water in plasma?,88-90,"['water', 'percentage', 'plasma']","['88', '90', '88-90']",['m'],[]
321,what is the percentage of water in plasma?,91-92,321,what is the percentage of water in plasma?,91-92,"['water', 'percentage', 'plasma']","['91-92', '92', '91']",['m'],[]
322,which element is essential for structure and preserving plant cells?,boron,322,which element is essential for structure and preserving plant cells?,boron,"['essential', 'cell', 'preserve', 'boron', 'element', 'structure', 'plant']",[],['m'],[]
322,which element is essential for structure and preserving plant cells?,chlorine,322,which element is essential for structure and preserving plant cells?,chlorine,"['essential', 'cell', 'preserve', 'element', 'chlorine', 'structure', 'plant']",[],['m'],[]
322,which element is essential for structure and preserving plant cells?,manganese,322,which element is essential for structure and preserving plant cells?,manganese,"['essential', 'cell', 'manganese', 'preserve', 'element', 'structure', 'plant']",[],['m'],[]
322,which element is essential for structure and preserving plant cells?,potassium,322,which element is essential for structure and preserving plant cells?,potassium,"['essential', 'cell', 'preserve', 'element', 'structure', 'plant', 'potassium']",[],['m'],[]
323,which process was dicovered by the british scientist blackman?,transpiration,323,which process was dicovered by the british scientist blackman?,transpiration,"['scientist', 'process', 'blackman', 'dicovere', 'british', 'transpiration']",[],"['km', 'm']",[]
323,which process was dicovered by the british scientist blackman?,imbibition,323,which process was dicovered by the british scientist blackman?,imbibition,"['scientist', 'process', 'blackman', 'dicovere', 'british', 'imbibition']",[],"['km', 'm']",[]
323,which process was dicovered by the british scientist blackman?,photosynthesis,323,which process was dicovered by the british scientist blackman?,photosynthesis,"['scientist', 'photosynthesis', 'process', 'blackman', 'dicovere', 'british']",[],"['km', 'm']",[]
323,which process was dicovered by the british scientist blackman?,diffusion,323,which process was dicovered by the british scientist blackman?,diffusion,"['scientist', 'process', 'blackman', 'diffusion', 'dicovere', 'british']",[],"['km', 'm']",[]
324,"the gland that produces reproductive hormones is-
i. islets of langerhans
ii. thyroid gland
iii. pituitary gland
which one is correct?",i and ii,324,"the gland that produces reproductive hormones is-
i. islets of langerhans
ii. thyroid gland
iii. pituitary gland
which one is correct?",i and ii,"['ii', 'iii', 'pituitary', 'hormone', 'islet', '.', 'reproductive', 'i.', 'produce', 'correct', 'gland', 'langerhan', 'thyroid']",['one'],['m'],[]
324,"the gland that produces reproductive hormones is-
i. islets of langerhans
ii. thyroid gland
iii. pituitary gland
which one is correct?",ii and iii,324,"the gland that produces reproductive hormones is-
i. islets of langerhans
ii. thyroid gland
iii. pituitary gland
which one is correct?",ii and iii,"['ii', 'iii', 'pituitary', 'hormone', 'islet', '.', 'reproductive', 'i.', 'produce', 'correct', 'gland', 'langerhan', 'thyroid']",['one'],['m'],[]
324,"the gland that produces reproductive hormones is-
i. islets of langerhans
ii. thyroid gland
iii. pituitary gland
which one is correct?",i and iii,324,"the gland that produces reproductive hormones is-
i. islets of langerhans
ii. thyroid gland
iii. pituitary gland
which one is correct?",i and iii,"['ii', 'iii', 'pituitary', 'hormone', 'islet', '.', 'reproductive', 'i.', 'produce', 'correct', 'gland', 'langerhan', 'thyroid']",['one'],['m'],[]
324,"the gland that produces reproductive hormones is-
i. islets of langerhans
ii. thyroid gland
iii. pituitary gland
which one is correct?","i, ii and iii",324,"the gland that produces reproductive hormones is-
i. islets of langerhans
ii. thyroid gland
iii. pituitary gland
which one is correct?","i, ii and iii","['ii', 'iii', 'pituitary', 'hormone', 'islet', '.', 'reproductive', 'i.', 'produce', 'correct', 'gland', 'langerhan', 'thyroid']",['one'],['m'],[]
325,"the basic elements of glucose are hydrogen, oxygen and the other is-",nitrogen,325,"the basic elements of glucose are hydrogen, oxygen and the other is-",nitrogen,"['glucose', 'basic', 'nitrogen', 'oxygen', 'element', 'hydrogen']",[],['m'],[]
325,"the basic elements of glucose are hydrogen, oxygen and the other is-",carbon,325,"the basic elements of glucose are hydrogen, oxygen and the other is-",carbon,"['glucose', 'basic', 'oxygen', 'carbon', 'element', 'hydrogen']",[],['m'],[]
325,"the basic elements of glucose are hydrogen, oxygen and the other is-",sodium,325,"the basic elements of glucose are hydrogen, oxygen and the other is-",sodium,"['glucose', 'basic', 'oxygen', 'element', 'sodium', 'hydrogen']",[],['m'],[]
325,"the basic elements of glucose are hydrogen, oxygen and the other is-",iron,325,"the basic elements of glucose are hydrogen, oxygen and the other is-",iron,"['glucose', 'basic', 'iron', 'oxygen', 'element', 'hydrogen']",[],['m'],[]
326,"for the disorder of different organs dyspepsia, dysentery, constipation, gastric and other diseases are occured.
what is the name of the germ that causes dysentery?",tmv,326,"for the disorder of different organs dyspepsia, dysentery, constipation, gastric and other diseases are occured.
what is the name of the germ that causes dysentery?",tmv,"['gastric', 'cause', 'organ', 'dyspepsia', 'different', 'disease', 'occur', 'disorder', 'constipation', 'tmv', 'germ', 'dysentery']",[],['m'],['causes']
326,"for the disorder of different organs dyspepsia, dysentery, constipation, gastric and other diseases are occured.
what is the name of the germ that causes dysentery?",shigella,326,"for the disorder of different organs dyspepsia, dysentery, constipation, gastric and other diseases are occured.
what is the name of the germ that causes dysentery?",shigella,"['gastric', 'cause', 'organ', 'dyspepsia', 'different', 'disease', 'occur', 'disorder', 'shigella', 'constipation', 'germ', 'dysentery']",[],['m'],['causes']
326,"for the disorder of different organs dyspepsia, dysentery, constipation, gastric and other diseases are occured.
what is the name of the germ that causes dysentery?",ameoba,326,"for the disorder of different organs dyspepsia, dysentery, constipation, gastric and other diseases are occured.
what is the name of the germ that causes dysentery?",ameoba,"['gastric', 'cause', 'organ', 'dyspepsia', 'different', 'disease', 'occur', 'disorder', 'constipation', 'germ', 'dysentery']",[],['m'],['causes']
326,"for the disorder of different organs dyspepsia, dysentery, constipation, gastric and other diseases are occured.
what is the name of the germ that causes dysentery?",h. pylori,326,"for the disorder of different organs dyspepsia, dysentery, constipation, gastric and other diseases are occured.
what is the name of the germ that causes dysentery?",h. pylori,"['gastric', 'cause', 'organ', 'dyspepsia', 'different', 'disease', 'occur', 'disorder', 'h.', 'constipation', 'pylori', 'germ', 'dysentery']",[],['m'],['causes']
327,"for the disorder of different organs dyspepsia, dysentery, constipation, gastric and other diseases are occured.
these diseases cause-
i. eye sight reduction
ii. abdominal pain, indigestion, stomach infection
iii. constipation, difficulty in passing stool
which one is correct?",i and ii,327,"for the disorder of different organs dyspepsia, dysentery, constipation, gastric and other diseases are occured.
these diseases cause-
i. eye sight reduction
ii. abdominal pain, indigestion, stomach infection
iii. constipation, difficulty in passing stool
which one is correct?",i and ii,"['ii', 'gastric', '.', 'correct', 'sight', 'organ', 'different', 'stomach', 'disorder', 'constipation', 'indigestion', 'pass', 'iii', 'reduction', 'i.', 'infection', 'dyspepsia', 'disease', 'occur', 'dysentery', 'stool', 'abdominal', 'eye', 'difficulty', 'pain']",['one'],['m'],[]
327,"for the disorder of different organs dyspepsia, dysentery, constipation, gastric and other diseases are occured.
these diseases cause-
i. eye sight reduction
ii. abdominal pain, indigestion, stomach infection
iii. constipation, difficulty in passing stool
which one is correct?",ii and iii,327,"for the disorder of different organs dyspepsia, dysentery, constipation, gastric and other diseases are occured.
these diseases cause-
i. eye sight reduction
ii. abdominal pain, indigestion, stomach infection
iii. constipation, difficulty in passing stool
which one is correct?",ii and iii,"['ii', 'gastric', '.', 'correct', 'sight', 'organ', 'different', 'stomach', 'disorder', 'constipation', 'indigestion', 'pass', 'iii', 'reduction', 'i.', 'infection', 'dyspepsia', 'disease', 'occur', 'dysentery', 'stool', 'abdominal', 'eye', 'difficulty', 'pain']",['one'],['m'],[]
327,"for the disorder of different organs dyspepsia, dysentery, constipation, gastric and other diseases are occured.
these diseases cause-
i. eye sight reduction
ii. abdominal pain, indigestion, stomach infection
iii. constipation, difficulty in passing stool
which one is correct?",i and iii,327,"for the disorder of different organs dyspepsia, dysentery, constipation, gastric and other diseases are occured.
these diseases cause-
i. eye sight reduction
ii. abdominal pain, indigestion, stomach infection
iii. constipation, difficulty in passing stool
which one is correct?",i and iii,"['ii', 'gastric', '.', 'correct', 'sight', 'organ', 'different', 'stomach', 'disorder', 'constipation', 'indigestion', 'pass', 'iii', 'reduction', 'i.', 'infection', 'dyspepsia', 'disease', 'occur', 'dysentery', 'stool', 'abdominal', 'eye', 'difficulty', 'pain']",['one'],['m'],[]
327,"for the disorder of different organs dyspepsia, dysentery, constipation, gastric and other diseases are occured.
these diseases cause-
i. eye sight reduction
ii. abdominal pain, indigestion, stomach infection
iii. constipation, difficulty in passing stool
which one is correct?","i, ii and iii",327,"for the disorder of different organs dyspepsia, dysentery, constipation, gastric and other diseases are occured.
these diseases cause-
i. eye sight reduction
ii. abdominal pain, indigestion, stomach infection
iii. constipation, difficulty in passing stool
which one is correct?","i, ii and iii","['ii', 'gastric', '.', 'correct', 'sight', 'organ', 'different', 'stomach', 'disorder', 'constipation', 'indigestion', 'pass', 'iii', 'reduction', 'i.', 'infection', 'dyspepsia', 'disease', 'occur', 'dysentery', 'stool', 'abdominal', 'eye', 'difficulty', 'pain']",['one'],['m'],[]
328,the deficiency of vitamin d causes the disease?,rickets,328,the deficiency of vitamin d causes the disease?,rickets,"['ricket', 'd', 'vitamin', 'deficiency', 'disease', 'cause']",[],['m'],['causes']
328,the deficiency of vitamin d causes the disease?,anemia,328,the deficiency of vitamin d causes the disease?,anemia,"['d', 'vitamin', 'deficiency', 'disease', 'cause', 'anemia']",[],['m'],['causes']
328,the deficiency of vitamin d causes the disease?,goiter,328,the deficiency of vitamin d causes the disease?,goiter,"['goiter', 'd', 'vitamin', 'deficiency', 'disease', 'cause']",[],['m'],['causes']
328,the deficiency of vitamin d causes the disease?,arthritis,328,the deficiency of vitamin d causes the disease?,arthritis,"['arthritis', 'd', 'vitamin', 'deficiency', 'disease', 'cause']",[],['m'],['causes']
